"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
10.0;"navardi01";0.3066362235067437;0.395;0.2744;0.1206;0.7424
3.0;"norride01";0.30336744604316546;0.4039;0.2505;0.1534;0.6202
2.0;"odorro01";0.3361729430379747;0.5025;0.2711;0.2314;0.5732
5.0;"olivomi01";0.28231691648822266;0.4049;0.2367;0.1681;0.6262
1.0;"orlanpa01";0.3143912317327766;0.4048;0.302;0.1028;0.7609
9.0;"ortizda01";0.43001493212669684;0.6362;0.2867;0.3495;0.4688
5.0;"overbly01";0.369201579778831;0.5077;0.3115;0.1962;0.6188
2.0;"owingch01";0.24988136531365313;0.3223;0.2272;0.0951;0.6923
4.0;"ozunama01";0.39187851851851846;0.5481;0.3116;0.2365;0.6387
1.0;"pachejo01";0.32351035856573707;0.4211;0.3095;0.1116;0.7279
6.0;"paganan01";0.3280549079754601;0.4397;0.2876;0.1521;0.6494
3.0;"panikjo01";0.3278989399293286;0.4207;0.2877;0.1331;0.7075
0.0;"parrage01";0.3115393004115226;0.4044;0.2901;0.1143;0.7424
4.0;"patteco01";0.32649525925925926;0.4517;0.2662;0.1854;0.625
2.0;"pauliro01";0.3038350202429149;0.3895;0.2626;0.1269;0.7
5.0;"paytoja01";0.36713415384615383;0.5117;0.3017;0.21;0.6409
1.0;"pederjo01";0.3333360485268631;0.4167;0.2104;0.2063;0.5446
2.0;"pedrodu01";0.3662902506963788;0.4931;0.3262;0.1669;0.6573
6.0;"penaca01";0.4282760399334443;0.6265;0.2816;0.3449;0.4493
1.0;"penato02";0.2728323863636364;0.3556;0.2672;0.0884;0.75
0.0;"pencehu01";0.37922314049586786;0.5395;0.3224;0.2171;0.619
3.0;"pennicl01";0.29796185383244206;0.3689;0.2641;0.1049;0.7353
1.0;"peralda01";0.37642252427184464;0.5216;0.3117;0.21;0.6319
2.0;"peraljh01";0.3728701413427562;0.5198;0.2917;0.2282;0.5714
2.0;"perazjo01";0.2746710116731518;0.3244;0.2587;0.0657;0.8571
6.0;"perezsa02";0.3320715151515151;0.4947;0.2675;0.2272;0.5873
8.0;"perryhe01";0.34697841140529534;0.48;0.2756;0.2044;0.621
1.0;"peterja01";0.2838759385665529;0.3352;0.2386;0.0966;0.7302
5.0;"phillbr01";0.34727672413793104;0.4846;0.2877;0.1969;0.6684
14.0;"pierzaj01";0.349643579766537;0.501;0.2777;0.2234;0.6316
4.0;"pillake01";0.3009295707472179;0.4037;0.2555;0.1482;0.64
1.0;"piscost01";0.3435618238021639;0.457;0.2732;0.1838;0.6226
5.0;"plouftr01";0.31644136291600633;0.4346;0.2443;0.1902;0.5643
2.0;"podsesc01";0.3547296116504854;0.4427;0.3136;0.129;0.7371
2.0;"polangr01";0.329181724137931;0.463;0.2581;0.2049;0.5588
3.0;"polanjo01";0.3081529850746269;0.4098;0.2561;0.1537;0.632
9.0;"polanpl01";0.36275251572327044;0.4583;0.3407;0.1175;0.76
3.0;"polloaj01";0.3662153046062407;0.4975;0.3153;0.1823;0.6615
12.0;"posadjo01";0.407972852233677;0.5435;0.3379;0.2055;0.6316
3.0;"poseybu01";0.4004194029850746;0.5491;0.3358;0.2132;0.6404
3.0;"pradoma01";0.34738655804480645;0.4644;0.3067;0.1578;0.6449
4.0;"puigya01";0.3515487544483986;0.487;0.2625;0.2244;0.5878
5.0;"pujolal01";0.44930577557755774;0.671;0.3308;0.3402;0.5311
