"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
5.0;"vaughmo01";0.4193695770804911;0.5827;0.326;0.2567;0.6425
10.0;"venturo01";0.38091484848484847;0.5289;0.301;0.2279;0.6045
10.0;"vizquom01";0.3597598145285935;0.4355;0.3328;0.1028;0.7644
7.0;"wallati01";0.3580629107981221;0.5143;0.2985;0.2159;0.5932
14.0;"whitalo01";0.3746517730496454;0.4894;0.2787;0.2106;0.6107
6.0;"whitede03";0.3392200282087447;0.4548;0.2819;0.1729;0.6298
13.0;"whitefr01";0.3297433931484503;0.4647;0.2721;0.1926;0.5974
7.0;"willibe02";0.4182688927943761;0.5752;0.3387;0.2365;0.6391
6.0;"winfida01";0.39562492447129904;0.5578;0.3082;0.2496;0.6141
8.0;"yountro01";0.3982716332378224;0.578;0.3307;0.2472;0.5857
8.0;"zeileto01";0.35574691729323304;0.4591;0.2678;0.1913;0.6883
9.0;"anderga01";0.3661883861236802;0.5408;0.315;0.2257;0.592
6.0;"cabreor01";0.34016744525547443;0.4601;0.2971;0.1629;0.6452
8.0;"crawfca02";0.3608479262672812;0.495;0.3067;0.1883;0.663
3.0;"dunnad01";0.4008289552238806;0.5687;0.2658;0.3028;0.4702
11.0;"durhara01";0.3765063985374772;0.5382;0.2932;0.245;0.5685
10.0;"dyeje01";0.4205168039538716;0.6215;0.3154;0.3061;0.5647
6.0;"furcara01";0.35091785714285717;0.445;0.2997;0.1453;0.7143
7.0;"guilljo01";0.36089073170731706;0.4973;0.2938;0.2035;0.6506
2.0;"howarry01";0.4410247376311844;0.6592;0.3133;0.346;0.5385
3.0;"huffau01";0.3789603773584906;0.555;0.3113;0.2437;0.5758
12.0;"hunteto01";0.3692163346613546;0.5078;0.2993;0.2084;0.637
13.0;"konerpa01";0.40948076923076926;0.5839;0.312;0.2719;0.5906
5.0;"leeca01";0.3763873282442748;0.5245;0.3046;0.22;0.6222
8.0;"leede02";0.43868113772455086;0.6616;0.335;0.3266;0.5025
9.0;"lowelmi01";0.3718947611710324;0.5008;0.3243;0.1766;0.6859
5.0;"morame01";0.4160192063492063;0.5618;0.34;0.2218;0.6364
10.0;"ordonma01";0.42842895522388064;0.595;0.363;0.2319;0.6204
10.0;"ortizda01";0.4403514503816794;0.6211;0.3315;0.2896;0.5165
9.0;"polanpl01";0.36275251572327044;0.4583;0.3407;0.1175;0.76
6.0;"ramirar01";0.3973253333333333;0.5777;0.3181;0.2596;0.6034
11.0;"renteed01";0.3707042513863217;0.4696;0.332;0.1377;0.7378
13.0;"rodrial01";0.4426687230989957;0.6449;0.3139;0.331;0.5355
8.0;"rolensc01";0.42050630323679733;0.598;0.314;0.284;0.5541
7.0;"rolliji01";0.3670191461836999;0.5307;0.2961;0.2346;0.5849
7.0;"soriaal01";0.3770381690140845;0.5595;0.2767;0.2828;0.5028
2.0;"teixema01";0.40081393103448276;0.5745;0.3012;0.2733;0.5515
7.0;"tejadmi01";0.37374965229485396;0.5345;0.3109;0.2236;0.6256
4.0;"wellsve01";0.3805714870395634;0.5501;0.3171;0.233;0.5953
4.0;"winnra01";0.34895358208955224;0.4613;0.2982;0.1631;0.6575
3.0;"wrighda03";0.4060428368794327;0.5464;0.3245;0.2219;0.6276
5.0;"youngmi02";0.38353825136612024;0.5135;0.3308;0.1826;0.6878
